Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,147500.0,148000.0,143500.0,144000.0,110863.765625,445332
2016-01-05,143000.0,145000.0,142000.0,143500.0,110478.796875,530496
2016-01-06,144000.0,145000.0,139000.0,140000.0,107784.21875,769406
2016-01-07,138500.0,140000.0,137500.0,137500.0,105859.484375,586187
2016-01-08,134500.0,138000.0,133500.0,136500.0,105089.6171875,888701
2016-01-11,134500.0,140500.0,134000.0,140000.0,107784.21875,542749
2016-01-12,140500.0,141500.0,139000.0,139500.0,107399.2890625,386506
2016-01-13,140500.0,141500.0,139500.0,140500.0,108169.15625,338336
2016-01-14,138500.0,143500.0,136500.0,141000.0,108554.09375,664829
2016-01-15,141000.0,142000.0,136500.0,138500.0,106629.3828125,568653
2016-01-18,137500.0,140000.0,135500.0,139000.0,107014.328125,400716
2016-01-19,138000.0,140000.0,136000.0,140000.0,107784.21875,332956
2016-01-20,139500.0,140000.0,135500.0,136500.0,105089.6171875,544330
2016-01-21,136000.0,138000.0,135500.0,137000.0,105474.5546875,455723
2016-01-22,138000.0,140500.0,136500.0,139000.0,107014.328125,551671
2016-01-25,140000.0,140500.0,136000.0,137500.0,105859.484375,543064
2016-01-26,136500.0,137000.0,134500.0,136000.0,104704.671875,564584
2016-01-27,135500.0,137000.0,134500.0,137000.0,105474.5546875,702981
2016-01-28,135500.0,136500.0,134500.0,135000.0,103934.7734375,480730
2016-01-29,135000.0,136000.0,131000.0,133000.0,102395.0,990382
2016-02-01,132000.0,132500.0,130500.0,132500.0,102010.0546875,689972
2016-02-02,131500.0,132500.0,129000.0,129500.0,99700.3984375,594441
2016-02-03,127500.0,129500.0,126500.0,129000.0,99315.4453125,649021
2016-02-04,130000.0,132500.0,129500.0,132500.0,102010.0546875,600523
2016-02-05,132000.0,133500.0,131000.0,133500.0,102779.9453125,513150
2016-02-11,130500.0,132500.0,130500.0,131000.0,100855.234375,688873
2016-02-12,131500.0,137500.0,131000.0,137000.0,105474.5546875,1264899
2016-02-15,137500.0,141500.0,135000.0,139500.0,107399.2890625,879160
2016-02-16,139500.0,142500.0,137500.0,141000.0,108554.09375,524822
2016-02-17,142000.0,147500.0,141000.0,147000.0,113173.4296875,772996
2016-02-18,147500.0,149000.0,145500.0,147000.0,113173.4296875,468798
2016-02-19,147000.0,151000.0,147000.0,149000.0,114713.203125,477553
